epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,375.676,1.5258,1.69108,0.01109,0.98206,0.97649,0.99387,0.57248,1.47599,0.38544,0.01648,0.00998815,0.00332938,0.00998815,0.00332938,0.00998815,0.00332938,0.00998815,0.00332938
2,679.262,1.3459,0.52037,0.00949,0.98933,0.98264,0.99457,0.5995,1.36373,0.3293,0.01526,0.0197903,0.00659676,0.0197903,0.00659676,0.0197903,0.00659676,0.0197903,0.00659676
3,931.03,1.32707,0.49323,0.00937,0.97668,0.97449,0.99346,0.59835,1.39604,0.36637,0.01553,0.0293944,0.00979813,0.0293944,0.00979813,0.0293944,0.00979813,0.0293944,0.00979813
4,1176.17,1.32341,0.47467,0.00929,0.98515,0.98822,0.99456,0.593,1.40017,0.33591,0.01577,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1422.05,1.26307,0.44576,0.00883,0.99125,0.9908,0.99487,0.61436,1.34769,0.31437,0.01467,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1668.4,1.22079,0.42864,0.00851,0.99367,0.99325,0.99488,0.58957,1.42417,0.33081,0.0155,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1913.48,1.17819,0.412,0.00816,0.99549,0.99451,0.99488,0.61242,1.35405,0.31109,0.01475,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2159.49,1.14748,0.39769,0.00788,0.99675,0.99743,0.99493,0.6056,1.36589,0.31499,0.0151,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2407.61,1.1191,0.39374,0.00769,0.9956,0.99599,0.99492,0.60755,1.35161,0.30807,0.01468,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2651.99,1.09021,0.38146,0.00749,0.99724,0.99656,0.99495,0.61085,1.3462,0.30962,0.01469,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2898.62,1.06903,0.37946,0.00728,0.99525,0.99711,0.99489,0.61491,1.33087,0.30964,0.01455,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3143.11,1.04652,0.36755,0.00713,0.99722,0.99807,0.99495,0.61382,1.35628,0.30765,0.01487,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3388.07,1.02744,0.3653,0.00698,0.99871,0.99789,0.99496,0.60797,1.35864,0.30994,0.01488,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3629.07,1.0065,0.36126,0.00685,0.99803,0.99819,0.99489,0.60553,1.36654,0.31398,0.015,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3872.97,0.98771,0.35692,0.00668,0.99741,0.99803,0.99494,0.60689,1.36598,0.31802,0.01495,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4115.61,0.97048,0.34883,0.00655,0.99657,0.99719,0.99494,0.60626,1.36684,0.32064,0.01496,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4359.32,0.95581,0.34847,0.00647,0.99807,0.99783,0.99491,0.60606,1.36954,0.31835,0.01501,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4601.79,0.94007,0.33808,0.00633,0.99865,0.99813,0.99492,0.60587,1.37197,0.31774,0.01504,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4851.96,0.92864,0.33468,0.00622,0.99825,0.99656,0.99494,0.60481,1.36677,0.32559,0.01493,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5100.39,0.91182,0.33052,0.00612,0.99826,0.99741,0.99494,0.60748,1.37761,0.3261,0.01513,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5345.46,0.90056,0.33455,0.00599,0.99655,0.99494,0.99488,0.60421,1.3775,0.33087,0.01514,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5590.49,0.88789,0.32925,0.00594,0.99739,0.99451,0.99485,0.60723,1.36523,0.33129,0.01497,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5835.68,0.87617,0.32072,0.00585,0.99867,0.9968,0.99493,0.60331,1.3723,0.32866,0.01502,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6078.42,0.86347,0.31764,0.00575,0.99849,0.99855,0.99495,0.6073,1.35802,0.32515,0.01485,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6320.3,0.8498,0.31406,0.00564,0.99795,0.99891,0.99489,0.60982,1.35403,0.32677,0.01481,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6562.77,0.83519,0.31676,0.00557,0.99828,0.99855,0.99488,0.60909,1.35251,0.32583,0.01481,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6806.96,0.83022,0.31248,0.00552,0.99754,0.99867,0.99478,0.60666,1.36272,0.33016,0.01496,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7050.35,0.81963,0.31056,0.00544,0.99819,0.99814,0.99488,0.60713,1.36519,0.33409,0.01497,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7290.12,0.8082,0.30606,0.00535,0.99873,0.99749,0.99489,0.60515,1.37311,0.33505,0.01506,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7532.54,0.79579,0.30271,0.00526,0.99854,0.99891,0.9949,0.60443,1.37464,0.33503,0.01506,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7775.8,0.78867,0.30214,0.00523,0.99812,0.99922,0.9948,0.60441,1.37155,0.33503,0.01502,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8022.41,0.78,0.29893,0.00514,0.99909,0.99769,0.99481,0.60413,1.37362,0.33679,0.01505,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8267.5,0.76973,0.29378,0.00507,0.99852,0.99928,0.9949,0.60284,1.37337,0.33488,0.01505,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8514.46,0.76363,0.29523,0.00502,0.99861,0.99876,0.99495,0.60276,1.37449,0.33608,0.01507,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8757.18,0.75605,0.29201,0.00496,0.99923,0.99916,0.99495,0.60142,1.37857,0.33757,0.0151,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9000.31,0.75006,0.29043,0.00492,0.99892,0.99958,0.99495,0.601,1.37965,0.33844,0.01511,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9244.2,0.7395,0.28448,0.00485,0.99934,0.9992,0.99495,0.60209,1.3809,0.33926,0.01512,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9494.98,0.73505,0.28887,0.00482,0.99891,0.99901,0.99495,0.60156,1.38094,0.34153,0.01511,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9745.35,0.72624,0.2806,0.00474,0.99881,0.99795,0.99495,0.60192,1.37994,0.34429,0.0151,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9995.62,0.72116,0.28188,0.0047,0.99863,0.99843,0.99495,0.60233,1.38002,0.34458,0.0151,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10243.7,0.71844,0.28315,0.0047,0.99851,0.99879,0.99495,0.60149,1.38125,0.34709,0.01512,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10489.2,0.71285,0.27617,0.00465,0.99789,0.99896,0.99495,0.60181,1.38273,0.34764,0.01513,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10728.6,0.70366,0.27403,0.0046,0.99825,0.99753,0.995,0.60165,1.38308,0.35031,0.01514,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10974.9,0.69263,0.27381,0.00453,0.99711,0.99813,0.99494,0.60292,1.383,0.35228,0.01515,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11220.2,0.69066,0.27407,0.00451,0.99759,0.99753,0.99494,0.60281,1.38312,0.35464,0.01515,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,11463.1,0.68536,0.26912,0.00447,0.99869,0.99741,0.99495,0.6028,1.38291,0.35533,0.01515,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11704.5,0.67377,0.264,0.00438,0.99839,0.99584,0.99495,0.60263,1.38237,0.35744,0.01514,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11945.9,0.67062,0.26479,0.00434,0.99831,0.99649,0.99495,0.60232,1.38265,0.3576,0.01515,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,12186.1,0.66654,0.26112,0.00433,0.99831,0.99698,0.99496,0.60242,1.38291,0.35779,0.01515,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
